End Date;End Time;NO2
14/01/2023;13:00:00;33.37591
14/01/2023;14:00:00;36.02915
14/01/2023;15:00:00;34.07791
14/01/2023;16:00:00;23.88629
14/01/2023;17:00:00;30.82205
14/01/2023;18:00:00;32.50501
14/01/2023;19:00:00;31.24125
14/01/2023;20:00:00;27.77917
14/01/2023;21:00:00;20.07663
14/01/2023;22:00:00;15.31962
14/01/2023;23:00:00;15.25232
14/01/2023;24:00:00;17.39595
15/01/2023;01:00:00;15.64556
15/01/2023;02:00:00;9.95224
15/01/2023;03:00:00;8.51982
15/01/2023;04:00:00;7.25428
15/01/2023;05:00:00;6.10034
15/01/2023;06:00:00;5.45530
15/01/2023;07:00:00;7.21740
15/01/2023;08:00:00;11.60427
15/01/2023;09:00:00;16.42169
15/01/2023;10:00:00;18.44380
15/01/2023;11:00:00;22.54599
15/01/2023;12:00:00;21.53337
15/01/2023;13:00:00;19.35345
15/01/2023;14:00:00;21.68434
15/01/2023;15:00:00;25.92121
15/01/2023;16:00:00;31.31866
15/01/2023;17:00:00;44.60994
15/01/2023;18:00:00;36.17162
15/01/2023;19:00:00;31.44330
15/01/2023;20:00:00;31.40642
15/01/2023;21:00:00;22.34294
15/01/2023;22:00:00;29.97509
15/01/2023;23:00:00;34.37884
15/01/2023;24:00:00;35.42367
16/01/2023;01:00:00;25.67714
16/01/2023;02:00:00;28.47441
16/01/2023;03:00:00;17.24683
16/01/2023;04:00:00;18.01862
16/01/2023;05:00:00;19.77701
16/01/2023;06:00:00;20.91895
16/01/2023;07:00:00;22.76843
16/01/2023;08:00:00;25.34306
16/01/2023;09:00:00;28.69053
16/01/2023;10:00:00;18.28955
16/01/2023;11:00:00;21.09340
16/01/2023;12:00:00;27.88345
16/01/2023;13:00:00;31.96695
16/01/2023;14:00:00;28.67187
16/01/2023;15:00:00;37.44958
16/01/2023;16:00:00;34.95059
16/01/2023;17:00:00;34.59081
16/01/2023;18:00:00;56.05171
16/01/2023;19:00:00;65.86312
16/01/2023;20:00:00;68.76122
16/01/2023;21:00:00;71.06141
16/01/2023;22:00:00;65.14241
16/01/2023;23:00:00;61.88438
16/01/2023;24:00:00;59.05291
17/01/2023;01:00:00;54.39971
17/01/2023;02:00:00;55.47101
17/01/2023;03:00:00;55.37737
17/01/2023;04:00:00;51.65834
17/01/2023;05:00:00;52.46261
17/01/2023;06:00:00;50.84022
17/01/2023;07:00:00;55.60808
17/01/2023;08:00:00;70.18247
17/01/2023;09:00:00;62.95394
17/01/2023;10:00:00;73.30505
17/01/2023;11:00:00;66.63070
17/01/2023;12:00:00;73.41629
17/01/2023;13:00:00;71.59058
17/01/2023;14:00:00;74.88151
17/01/2023;15:00:00;60.68177
17/01/2023;16:00:00;66.62277
17/01/2023;17:00:00;78.62783
17/01/2023;18:00:00;88.93941
17/01/2023;19:00:00;81.53906
17/01/2023;20:00:00;71.17189
17/01/2023;21:00:00;64.86673
17/01/2023;22:00:00;69.67223
17/01/2023;23:00:00;59.00646
17/01/2023;24:00:00;57.10265
18/01/2023;01:00:00;57.43952
18/01/2023;02:00:00;44.05394
18/01/2023;03:00:00;38.38489
18/01/2023;04:00:00;37.14122
18/01/2023;05:00:00;36.22149
18/01/2023;06:00:00;43.21827
18/01/2023;07:00:00;46.92419
18/01/2023;08:00:00;56.68138
18/01/2023;09:00:00;59.93616
18/01/2023;10:00:00;55.18254
18/01/2023;11:00:00;59.13427
18/01/2023;12:00:00;37.16341
18/01/2023;13:00:00;29.71688
18/01/2023;14:00:00;32.16778
18/01/2023;15:00:00;43.95965
18/01/2023;16:00:00;57.93130
18/01/2023;17:00:00;82.60815
18/01/2023;18:00:00;80.93014
18/01/2023;19:00:00;60.77059
18/01/2023;20:00:00;65.24415
18/01/2023;21:00:00;58.34769
18/01/2023;22:00:00;48.46224
18/01/2023;23:00:00;37.00764
